abbr,full,dblp_uri,rank
TOCS,ACM Transactions on Computer Systems,journals/tocs,A
TOS,ACM Transactions on Storage,journals/tos,A
TCAD,IEEE Transactions On Computer-Aided Design Of Integrated Circuits And System,journals/tcad,A
TC,IEEE Transactions on Computers,journals/tc,A
TPDS,IEEE Transactions on Parallel and Distributed Systems,journals/tpds,A
TACO,ACM Transactions on Architecture and Code Optimization,journals/taco,B
TAAS,ACM Transactions on Autonomous and Adaptive Systems,journals/taas,B
TODAES,ACM Transactions on Design Automation of Electronic Systems,journals/todaes,B
TECS,ACM Transactions on Embedded Computing Systems,journals/tecs,B
TRETS,ACM Transactions on Reconfigurable Technology and Systems,journals/trets,B
TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,journals/tvlsi,B
JPDC,Journal of Parallel and Distributed Computing,journals/jpdc,B
JSA,Journal of Systems Architecture: Embedded Software Design,journals/jsa,B
PARCO,Parallel Computing,conf/parco,B
,Performance Evaluation: An International Journal,journals/pe,B
JETC,ACM Journal on Emerging Technologies in Computing Systems,journals/jetc,C
,Concurrency and Computation: Practice and Experience,journals/concurrency,C
DC,Distributed Computing,journals/dc,C
FGCS,Future Generation Computer Systems,journals/fgcs,C
TCC,IEEE Transactions on Cloud Computing,journals/tcc,C
Integration,"Integration, the VLSI Journal",journals/integration,C
JETTA,Journal of Electronic Testing-Theory and Applications,journals/et,C
JGC,The Journal of Grid computing,journals/grid,C
MICPRO,Microprocessors and Microsystems: Embedded Hardware Design,journals/mam,C
RTS,Real-Time Systems,journals/rts,C
TJSC,The Journal of Supercomputing,journals/tjs,C
PPoPP,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,conf/ppopp,A
FAST,Conference on File and Storage Technologies,conf/fast,A
DAC,Design Automation Conference,conf/dac,A
HPCA,High-Performance Computer Architecture,conf/cnhpca,A
MICRO,IEEE/ACM International Symposium on Microarchitecture,journals/micro,A
SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",conf/sc,A
ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,conf/asplos,A
ISCA,International Symposium on Computer Architecture,conf/isca,A
USENIX ATC,USENIX Annul Technical Conference,conf/usenix,A
SOCC,ACM Symposium on Cloud Computing,conf/cloud,B
SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,conf/spaa,B
PODC,ACM Symposium on Principles of Distributed Computing,conf/podc,B
FPGA,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,conf/fpga,B
CGO,Code Generation and Optimization,conf/cgo,B
DATE,"Design, Automation & Test in Europe",conf/date,B
EuroSys,European Conference on Computer Systems,conf/eurosys,B
HOT CHIPS,Hot Chips: A Symposium on High Performance Chips,conf/hotchips,B
CLUSTER,IEEE International Conference on Cluster Computing,conf/cluster,B
ICCD,International Conference on Computer Design,conf/iccd,B
ICCAD,International Conference on Computer-Aided Design,conf/iccad,B
ICDCS,International Conference on Distributed Computing Systems,conf/icdcs,B
CODES+ISSS,International Conference on Hardware/Software Co-design and System Synthesis,conf/codes,B
HiPEAC,International Conference on High Performance and Embedded Architectures and Compilers,conf/hipeac,B
SIGMETRICS,International Conference on Measurement and Modeling of Computer Systems,conf/sigmetrics,B
PACT,International Conference on Parallel Architectures and Compilation Techniques,conf/IEEEpact,B
ICPP,International Conference on Parallel Processing,conf/icpp,B
ICS,International Conference on Supercomputing,conf/ics,B
VEE,International Conference on Virtual Execution Environments,conf/vee,B
IPDPS,International Parallel & Distributed Processing Symposium,conf/ipps,B
Performance,"International Symposium on Computer Performance, Modeling, Measurements and Evaluation",conf/performance,B
HPDC,International Symposium on High Performance Distributed Computing,conf/hpdc,B
ITC,International Test Conference,conf/itc,B
LISA,Large Installation system Administration Conference,conf/lisa,B
MSST,Mass Storage Systems and Technologies,conf/mss,B
RTAS,Real-Time and Embedded Technology and Applications Symposium,conf/rtas,B
CF,ACM International Conference on Computing Frontiers,conf/cf,C
